Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bolivia,BOL,582.6752404,444.8023859,523.3250988,534.1186323,525.1459388,562.6296399,691.9551238,554.1492706,579.4806003,593.6417812,636.138304,660.9912274,747.8691761,740.169863,778.1687546,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bosnia and Herzegovina,BIH,1158.63132,1118.389716,1172.064754,1169.273449,1277.606308,1338.521633,1407.555962,1409.616704,1587.934915,1664.232651,1749.123189,1951.710038,1854.11343,1821.824335,2246.919678,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Botswana,BWA,1092.485764,1084.602533,1082.372134,1060.371956,1024.381955,1037.420834,1050.64415,1062.92273,1101.246634,1007.294607,1083.912023,1026.729159,1150.639038,1203.324936,1300.63669,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brazil,BRA,1072.379538,1076.275474,1090.349867,1094.42467,1141.491098,1156.907568,1184.145102,1238.411641,1294.480833,1240.177285,1358.502416,1367.188098,1413.733357,1461.076781,1495.541207,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brunei Darussalam,BRN,7157.132352,6492.724257,6221.159114,7090.248038,6389.813957,6074.568491,8511.574205,8606.765965,9337.042494,7925.914156,8337.49479,9837.44742,9599.377426,7522.255274,8673.088984,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bulgaria,BGR,2277.367967,2421.145361,2410.969355,2490.416673,2440.69816,2597.896167,2691.460438,2666.111445,2648.867056,2351.655053,2416.703907,2617.127869,2513.352381,2329.122801,2477.655401,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cabo Verde,CPV,..,..,..,..,194.9117094,213.8081169,217.4052049,216.8147181,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cambodia,KHM,280.7322834,276.5047308,316.0732939,320.0654814,259.3862963,258.8576331,254.4461377,254.2458817,251.2753322,360.4949451,370.2598872,381.2422622,390.7904317,396.9135648,416.8383089,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cameroon,CMR,406.708803,400.7898218,399.5311782,404.798622,406.3219865,397.8108553,368.9174312,338.4741351,332.1719704,349.3707074,342.4963108,321.1590161,322.2788585,329.5873435,335.2015077,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Canada,CAN,8265.079925,8056.349425,7993.879384,8341.343144,8455.547014,8422.034308,8239.946371,8213.389543,8194.880771,7797.121136,7788.560786,7911.554588,7733.411655,7743.725742,7897.855615,7631.34157,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chile,CHL,1640.410373,1591.725518,1630.125241,1629.899824,1717.859495,1752.727616,1805.221118,1852.505249,1815.207845,1748.328486,1807.915658,1950.23836,2138.299368,2202.11522,2032.934757,2005.551062,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,China,CHN,898.9873131,928.8114337,984.8107146,1118.431773,1268.132904,1393.691324,1515.173678,1630.171029,1672.90412,1778.433519,1954.722556,2086.486904,2155.164788,2213.759327,2236.729908,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Colombia,COL,651.3635831,638.598671,616.6066097,620.3289799,617.8999677,635.0563175,658.9185258,646.7975362,669.2489829,686.1075296,689.9796936,684.402386,684.6351032,723.8148163,724.0702793,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Comoros,COM,..,..,..,..,56.9296818,60.49438628,67.04713254,63.90075122,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Dem. Rep.",COD,295.2242256,296.8030528,298.2286776,300.0030335,302.3029881,304.1560162,305.6769538,306.6367264,307.6549802,306.5489534,307.4199536,315.7665596,378.9170668,385.1692055,389.3319231,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Rep.",COG,226.9839174,247.2848254,242.134832,277.6529665,286.1379167,299.9860604,378.7737231,325.0534878,336.0904164,371.3707585,392.3676993,508.0369178,567.3611225,567.8604193,554.8084072,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Costa Rica,CRI,725.2181269,716.5840289,741.5917141,783.8896383,915.2341157,902.0485815,962.5568301,1023.571571,1027.498894,1008.884386,1015.012743,1004.728598,1009.457765,1021.262489,1023.008944,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cote d'Ivoire,CIV,412.6449102,387.471603,405.0570294,374.9154669,517.4602323,524.0361581,504.3240396,531.0260887,521.9083925,467.4630482,494.9525519,554.0660589,586.274506,612.5489502,612.640154,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Croatia,HRV,1876.805775,2024.546927,2081.59828,2232.493431,2230.90322,2261.483778,2248.380076,2338.447693,2280.070678,2207.103023,2185.446988,2140.436133,2020.752383,1983.867947,1897.840665,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cuba,CUB,1144.784715,1114.664951,1035.417621,1027.57075,1002.436543,947.4352715,945.9763252,901.335529,958.2083998,1016.655193,1099.502825,1032.819599,1065.343644,1022.160525,1034.686071,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Curacao,CUW,15720.11056,16994.13392,16662.99292,15566.69219,16180.823,15178.82724,14581.1072,16222.45516,15326.48752,15608.494,13710.07982,16064.05182,13395.36979,11727.50972,12650.86044,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cyprus,CYP,2265.407245,2201.695138,2193.681651,2346.799347,2161.637675,2159.594302,2207.928785,2292.2245,2388.589477,2299.796099,2195.337638,2105.256514,1961.81212,1687.829693,1712.159752,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Czech Republic,CZE,3988.038494,4111.152482,4163.450106,4357.572662,4460.259931,4400.878113,4491.516134,4468.960352,4330.712691,4034.74351,4237.896741,4077.356059,4054.085018,3989.991414,3915.113582,3860.002964,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Denmark,DNK,3489.614796,3583.955723,3535.098014,3727.834179,3597.17296,3487.631914,3728.171039,3622.596833,3501.513847,3329.211067,3510.79685,3230.188031,3091.58158,3125.33776,2872.573547,2816.614565,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Djibouti,DJI,..,..,..,..,172.368433,177.4647815,179.9731425,177.5402849,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominica,DMA,..,..,..,..,554.1189509,580.827041,593.9081988,607.3875274,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominican Republic,DOM,852.25008,814.3059551,851.6183714,794.6209158,708.7403966,760.0917507,776.5663132,779.6497881,771.974424,748.1899106,776.6888108,781.4702834,815.3907532,759.6939519,751.795394,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ecuador,ECU,695.1847246,724.3707484,694.6010812,693.0039751,658.1121398,675.3670137,667.1038361,742.1890459,672.4827682,788.0824322,784.051913,817.5844698,795.1427488,843.978287,888.9648955,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Egypt, Arab Rep.",EGY,589.6677834,649.7416256,657.7509927,670.2501028,711.3467221,813.999296,844.987613,889.3894434,907.5952747,911.4885946,876.5421758,900.6603986,905.5866059,848.6291444,827.4971669,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,El Salvador,SLV,673.7734581,700.2616498,709.7409385,736.94749,727.3424055,744.7953388,778.7093757,733.4908882,733.5005065,684.1216002,687.2839441,690.9413116,677.3283351,636.5734823,645.8763031,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Equatorial Guinea,GNQ,..,..,..,..,1062.837106,1666.366481,1915.87975,2140.717816,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Eritrea,ERI,308.7969199,312.3426658,301.655181,308.1477586,273.3911243,269.5613443,237.870883,239.2445811,220.20851,231.3530475,233.6597344,236.3440005,240.7126675,243.0602325,245.9192335,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Estonia,EST,3374.70839,3541.512051,3415.780621,3798.038257,3893.395472,3846.392943,3775.035083,4243.648,4105.417736,3648.978843,4222.73719,4237.729191,4174.387766,4623.279112,4592.616457,4173.326583,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ethiopia,ETH,478.4932546,482.4053895,482.6886042,484.0447321,484.6298477,482.9057294,483.9403013,485.5969831,486.7608738,486.7319303,486.6902958,489.1756569,489.1939261,492.145208,493.1301633,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Fiji,FJI,..,..,..,..,814.3202993,703.5019304,675.2267868,626.6518375,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Finland,FIN,6262.192079,6410.625234,6728.581405,7077.026649,7134.854209,6562.022311,7111.856822,6974.896761,6669.173348,6268.300545,6828.783753,6537.637298,6275.770964,6116.227294,6213.357766,5924.700125,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,France,FRA,4135.477644,4246.004942,4225.467969,4270.949456,4301.737225,4287.157413,4188.84293,4115.527368,4110.585659,3913.457639,4016.847947,3847.072729,3836.656592,3833.534143,3659.087795,3692.017833,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Gabon,GAB,1197.22964,1254.899233,1479.211218,1697.323314,1920.583249,2160.072029,2362.398542,2555.471877,2723.343475,2883.595678,3129.078774,2429.215824,2072.638342,2913.863575,2694.207453,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Gambia, The",GMB,..,..,..,..,72.16709087,69.95992203,71.63301277,81.10507803,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Georgia,GEO,703.7218083,640.3012376,639.4192305,684.5821684,707.9865762,727.880734,781.2476565,865.5928073,780.7194535,811.5319791,824.5430382,943.5439023,993.7399333,1048.341057,1180.272753,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Germany,DEU,4094.06036,4209.796087,4108.401299,4084.503346,4114.389928,4086.503407,4204.654689,3985.811955,4036.830781,3790.501152,3997.079421,3869.816229,3876.948104,3939.529563,3779.461921,3817.549415,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ghana,GHA,325.5569729,319.7178225,310.1038156,286.2929349,279.1034623,269.7821491,280.1682198,273.0545526,266.1197832,280.9764122,298.9123441,311.4303338,329.158417,336.4679215,331.8272252,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Gibraltar,GIB,4113.942787,4141.731536,4138.651797,4171.064353,4435.860058,4544.507661,4697.579077,4679.86395,4759.408802,5123.46194,5150.692273,4996.072831,5108.274386,5456.488187,5812.453669,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Greece,GRC,2506.639948,2578.112105,2597.748289,2666.453637,2711.46679,2753.051201,2742.629961,2734.755835,2745.493459,2649.661201,2482.110116,2407.762736,2403.230472,2128.010669,2123.897891,2182.071093,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Grenada,GRD,..,..,..,..,709.1722809,754.817936,771.9211306,770.0351744,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guatemala,GTM,607.4955299,605.5050029,596.5398034,606.7471081,611.736235,602.3859363,599.5329716,631.5676533,593.720684,668.796352,714.9102221,750.609079,749.0445437,800.6522343,863.5689345,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guinea-Bissau,GNB,..,..,..,..,65.47432341,64.6873815,65.33191152,67.30223592,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guyana,GUY,..,..,..,..,642.3175999,663.3939233,669.9332612,669.8156935,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Haiti,HTI,237.5171406,238.5873138,263.7804927,249.2056273,252.8709549,370.4208068,375.3054779,387.0094851,385.8434803,385.3788806,381.5911275,389.0863854,397.2571269,394.0233483,393.6746469,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Honduras,HND,454.9337449,477.7356399,484.3386708,513.3695799,539.9172561,551.0099564,523.1141095,600.5888697,582.8127085,546.8021139,548.7312849,596.678376,593.0709708,590.9511383,597.9295164,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Hong Kong SAR, China",HKG,2039.054164,2109.680384,1949.172758,2009.218369,1872.470259,1844.490401,1932.909685,2058.597516,2006.298543,2107.366338,1946.646166,2087.211664,1994.715598,1943.845436,1970.484128,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Hungary,HUN,2448.140338,2512.67485,2520.152466,2580.207496,2579.291721,2731.039703,2713.257084,2658.036373,2636.646773,2478.1017,2568.948991,2500.321359,2365.553697,2271.947205,2314.496434,2432.751791,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Iceland,ISL,11091.54887,10589.46619,10804.64172,10731.32864,10524.2507,10524.8775,12734.00662,14746.03134,16353.83127,16911.07978,17023.16682,18157.5981,17630.07147,18178.13901,17916.12042,17478.89304,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,India,IND,417.2875886,416.0144443,421.2704901,424.2943456,439.7030084,449.7658559,466.1382611,485.0996282,501.5596349,544.6265982,561.6534027,577.9940611,599.1544142,605.7921412,636.5701556,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Indonesia,IDN,735.9134207,742.9706995,760.1677157,752.1128926,791.0908132,794.4100006,802.3545286,788.0726283,793.1000329,845.9972119,877.0756528,833.5620289,853.2083446,863.8176284,883.9182941,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Iran, Islamic Rep.",IRN,1874.671453,2008.654894,2051.788847,2094.269158,2256.462603,2475.087729,2557.7637,2676.599594,2837.184586,2800.51544,2769.463567,2791.107789,2869.333253,2889.109969,3060.387046,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Iraq,IRQ,1104.932741,1199.022355,1107.08185,988.9973674,991.9177507,981.7259561,908.5752454,909.1752902,968.3506997,1137.034404,1261.220505,1335.738398,1438.175609,1488.561769,1437.900542,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ireland,IRL,3626.747161,3713.513869,3661.322241,3515.094503,3558.085941,3503.642864,3424.160852,3416.030946,3293.884635,3149.565141,3152.003605,2865.37474,2853.064865,2814.98269,2741.574884,2819.875852,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Israel,ISR,2899.426618,2973.042708,2862.795738,2949.300417,2821.996916,2661.449185,2882.399025,2898.153368,3129.127764,2873.876109,3042.434021,2980.176157,3067.742494,2870.098765,2762.505934,2777.875324,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Italy,ITA,3012.195,3020.621195,3037.266965,3168.529021,3169.932642,3214.674121,3175.799871,3149.576553,3087.566331,2869.920712,2930.588524,2828.404891,2709.297728,2579.472543,2414.484002,2481.754645,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Jamaica,JAM,1436.429941,1430.144367,1324.659979,1371.584576,1379.414792,1355.282093,1510.601738,1511.587742,1265.622551,1080.154172,951.4108011,1009.349138,974.4631847,1006.698478,976.858486,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Japan,JPN,4083.831697,4008.268032,3991.977567,3953.184508,4078.210542,4062.979049,4053.883437,4012.654245,3858.434521,3678.511133,3893.266604,3610.812169,3537.36317,3567.629354,3470.763129,3428.557216,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Jordan,JOR,949.8658173,923.3053037,951.5473983,952.02198,1114.304142,1157.958664,1143.880038,1152.461121,1078.166204,1081.923357,978.2036563,922.0659284,970.2091443,906.9274754,916.9928327,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kazakhstan,KAZ,2397.202335,2324.54767,2674.255674,2891.093028,3383.074452,3358.971122,4012.785075,4267.99306,4457.168113,3944.288267,4234.851064,4670.821234,4398.944408,4786.593036,4434.639121,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kenya,KEN,437.9659321,431.981532,426.0164787,423.7140817,433.5064268,436.9270956,443.1654858,440.4651463,443.5401696,456.9496124,464.4134917,461.4658253,454.8363556,468.6375883,505.9974007,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kiribati,KIR,..,..,..,..,88.39876684,86.65041971,105.9962053,113.9577528,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Korea, Dem. People�s Rep.",PRK,859.9080425,880.5372243,838.3036226,850.7559501,863.6739278,892.5578959,895.8542023,756.8111252,829.7307354,815.3893463,770.1300787,567.3458668,574.7893641,435.155494,475.3483473,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Korea, Rep.",KOR,4002.671284,4033.318968,4170.476147,4233.487325,4332.667741,4364.219091,4412.527118,4564.98783,4629.777921,4649.765742,5045.487749,5216.587809,5248.519891,5231.67546,5289.275832,5413.347857,..,..,..,..,..
